date,time,timestamp,time_diff_day,time_days,M1_tracer_mg-l,M2_tracer_mg-l,M3_tracer_mg-l,M1_outflow,M2_outflow,M3_outflow,P6_inflow,,,
07.08.2018,11:30:00,07.08.2018 11:30:00,0.00,0.00,0.000,0.000,0.000,0.002,0.042,0.035,,,,
07.08.2018,12:40:00,07.08.2018 12:40:00,0.05,0.05,1.714,0.714,1.179,0.028,0.040,0.032,,,,
08.08.2018,8:00:00,08.08.2018 08:00:00,0.81,0.85,1.994,0.715,1.123,0.015,0.047,0.037,0.071,,,
09.08.2018,7:00:00,09.08.2018 07:00:00,0.96,1.81,1.927,0.754,1.013,0.005,0.049,0.058,0.071,,,
10.08.2018,6:00:00,10.08.2018 06:00:00,0.96,2.77,1.950,0.784,1.392,0.000,0.042,0.051,0.092,,,
10.08.2018,11:00:00,10.08.2018 11:00:00,0.21,2.98,"<0,02",0.159,0.403,0.000,0.004,0.002,0.063,,,
10.08.2018, 17:00:00,10.08.2018 17:00:00,0.25,3.23,"<0,02",0.303,0.355,0.000,0.002,0.081,0.081,,,
10.08.2018,23:00:00,10.08.2018 23:00:00,0.25,3.48,"<0,02",,0.327,0.000,0.018,0.083,0.081,,,
11.08.2018,5:00:00,11.08.2018 05:00:00,0.25,3.73,"<0,02",,0.258,0.000,0.016,0.085,0.081,,,
11.08.2018,11:00:00,11.08.2018 11:00:00,0.25,3.98,"<0,02",0.215,0.204,0.000,0.011,0.076,0.047,,,
11.08.2018,17:00:00,11.08.2018 17:00:00,0.25,4.23,"<0,02",0.259,0.249,0.000,0.001,0.060,0.092,,,
11.08.2018,23:00:00,11.08.2018 23:00:00,0.25,4.48,"<0,02",0.280,0.286,0.020,0.005,0.072,0.103,,,
12.08.2018,5:00:00,12.08.2018 05:00:00,0.25,4.73,"<0,02",0.353,0.335,0.022,0.012,0.080,0.115,,,
12.08.2018,11:00:00,12.08.2018 11:00:00,0.25,4.98,"<0,02",0.398,0.297,0.025,0.013,0.084,0.071,,,
12.08.2018,17:00:00,12.08.2018 17:00:00,0.25,5.23,"<0,02",0.341,0.236,0.012,0.002,0.060,0.222,,,
12.08.2018,23:00:00,12.08.2018 23:00:00,0.25,5.48,"<0,02",0.469,0.287,0.054,0.017,0.042,0.187,,,
13.08.2018,5:00:00,13.08.2018 05:00:00,0.25,5.73,"<0,02",0.489,0.226,0.049,0.019,0.053,0.187,,,
13.08.2018,11:00:00,13.08.2018 11:00:00,0.25,5.98,"<0,02",0.236,0.279,0.052,0.020,0.056,0.023,,,
13.08.2018,17:00:00,13.08.2018 17:00:00,0.25,6.23,"<0,02",0.398,0.359,0.034,0.007,0.031,0.054,,,
13.08.2018,23:00:00,13.08.2018 23:00:00,0.25,6.48,"<0,02",0.233,0.204,0.042,0.013,0.038,0.063,,,
14.08.2018,5:00:00,14.08.2018 05:00:00,0.25,6.73,"<0,02",0.327,0.297,0.050,0.023,0.051,0.156,,,
14.08.2018,11:00:00,14.08.2018 11:00:00,0.25,6.98,"<0,02",0.400,0.326,0.045,0.018,0.051,0.128,,,
14.08.2018,17:00:00,14.08.2018 17:00:00,0.25,7.23,0.158,0.394,0.440,0.036,0.013,0.042,0.171,,,
14.08.2018,23:00:00,14.08.2018 23:00:00,0.25,7.48,0.214,0.329,0.272,0.043,0.020,0.055,0.171,,,
