date,time,timestamp,time_diff_day,time_days,M1_tracer_mg-l,M2_tracer_mg-l,M3_tracer_mg-l,M1_outflow_ls,M2_outflow_ls,M3_outflow_ls,P6_inflow,time_diff_sec,M1_outflow_liters,M2_outflow_liters,M3_outflow_liters,M1,M2,M3,
07.08.2018,11:30:00,07.08.2018 11:30,0,0,0,0,0,0.002,0.042,0.035,,0,0,0,0,0.00,0.00,0.00,
07.08.2018,12:40:00,07.08.2018 12:40,0.05,0.05,1.714,0.714,1.179,0.028,0.04,0.032,,4320,120.96,172.8,138.24,0.21,0.12,0.16,
08.08.2018,8:00:00,08.08.2018 8:00,0.81,0.85,1.994,0.715,1.123,0.015,0.047,0.037,0.071,69984,1049.76,3289.248,2589.408,2.09,2.35,2.91,
09.08.2018,7:00:00,09.08.2018 7:00,0.96,1.81,1.927,0.754,1.013,0.005,0.049,0.058,0.071,82944,414.72,4064.256,4810.752,0.80,3.06,4.87,
10.08.2018,6:00:00,10.08.2018 6:00,0.96,2.77,1.95,0.784,1.392,0,0.042,0.051,0.092,82944,0,3483.648,4230.144,0.00,2.73,5.89,
10.08.2018,11:00:00,10.08.2018 11:00,0.21,2.98,0.01,0.159,0.403,0,0.004,0.002,0.063,18144,0,72.576,36.288,0.00,0.01,0.01,
10.08.2018, 17:00:00,10.08.2018 17:00,0.25,3.23,0.01,0.303,0.355,0,0.002,0.081,0.081,21600,0,43.2,1749.6,0.00,0.01,0.62,
10.08.2018,23:00:00,10.08.2018 23:00,0.25,3.48,0.01,,0.327,0,0.018,0.083,0.081,21600,0,388.8,1792.8,0.00,0.00,0.59,
11.08.2018,5:00:00,11.08.2018 5:00,0.25,3.73,0.01,,0.258,0,0.016,0.085,0.081,21600,0,345.6,1836,0.00,0.00,0.47,
11.08.2018,11:00:00,11.08.2018 11:00,0.25,3.98,0.01,0.215,0.204,0,0.011,0.076,0.047,21600,0,237.6,1641.6,0.00,0.05,0.33,
11.08.2018,17:00:00,11.08.2018 17:00,0.25,4.23,0.01,0.259,0.249,0,0.001,0.06,0.092,21600,0,21.6,1296,0.00,0.01,0.32,
11.08.2018,23:00:00,11.08.2018 23:00,0.25,4.48,0.01,0.28,0.286,0.02,0.005,0.072,0.103,21600,432,108,1555.2,0.00,0.03,0.44,
12.08.2018,5:00:00,12.08.2018 5:00,0.25,4.73,0.01,0.353,0.335,0.022,0.012,0.08,0.115,21600,475.2,259.2,1728,0.00,0.09,0.58,
12.08.2018,11:00:00,12.08.2018 11:00,0.25,4.98,0.01,0.398,0.297,0.025,0.013,0.084,0.071,21600,540,280.8,1814.4,0.01,0.11,0.54,
12.08.2018,17:00:00,12.08.2018 17:00,0.25,5.23,0.01,0.341,0.236,0.012,0.002,0.06,0.222,21600,259.2,43.2,1296,0.00,0.01,0.31,
12.08.2018,23:00:00,12.08.2018 23:00,0.25,5.48,0.01,0.469,0.287,0.054,0.017,0.042,0.187,21600,1166.4,367.2,907.2,0.01,0.17,0.26,
13.08.2018,5:00:00,13.08.2018 5:00,0.25,5.73,0.01,0.489,0.226,0.049,0.019,0.053,0.187,21600,1058.4,410.4,1144.8,0.01,0.20,0.26,
13.08.2018,11:00:00,13.08.2018 11:00,0.25,5.98,0.01,0.236,0.279,0.052,0.02,0.056,0.023,21600,1123.2,432,1209.6,0.01,0.10,0.34,
13.08.2018,17:00:00,13.08.2018 17:00,0.25,6.23,0.01,0.398,0.359,0.034,0.007,0.031,0.054,21600,734.4,151.2,669.6,0.01,0.06,0.24,
13.08.2018,23:00:00,13.08.2018 23:00,0.25,6.48,0.01,0.233,0.204,0.042,0.013,0.038,0.063,21600,907.2,280.8,820.8,0.01,0.07,0.17,
14.08.2018,5:00:00,14.08.2018 5:00,0.25,6.73,0.01,0.327,0.297,0.05,0.023,0.051,0.156,21600,1080,496.8,1101.6,0.01,0.16,0.33,
14.08.2018,11:00:00,14.08.2018 11:00,0.25,6.98,0.01,0.4,0.326,0.045,0.018,0.051,0.128,21600,972,388.8,1101.6,0.01,0.16,0.36,
14.08.2018,17:00:00,14.08.2018 17:00,0.25,7.23,0.158,0.394,0.44,0.036,0.013,0.042,0.171,21600,777.6,280.8,907.2,0.12,0.11,0.40,
14.08.2018,23:00:00,14.08.2018 23:00,0.25,7.48,0.214,0.329,0.272,0.043,0.02,0.055,0.171,21600,928.8,432,1188,0.20,0.14,0.32,
15.08.2018,5:00:00,15.08.2018 5:00,0.25,7.73,0.144,0.344,0.311,0.044,0.023,0.06,0.187,21600,950.4,496.8,1296,0.14,0.17,0.40,
15.08.2018,11:00:00,15.08.2018 11:00,0.25,7.98,0.161,0.3,0.331,0.043,0.02,0.057,0.171,21600,928.8,432,1231.2,0.15,0.13,0.41,
15.08.2018,17:00:00,15.08.2018 17:00,0.25,8.23,0.232,0.349,0.451,0.033,0,0.043,0.128,21600,712.8,0,928.8,0.17,0.00,0.42,
15.08.2018,23:00:00,15.08.2018 23:00,0.25,8.48,0.142,,0.34,0.046,0.013,0.031,0.156,21600,993.6,280.8,669.6,0.14,0.00,0.23,
16.08.2018,5:00:00,16.08.2018 5:00,0.25,8.73,0.232,0.264,0.291,0.049,0.013,0.034,0.156,21600,1058.4,280.8,734.4,0.25,0.07,0.21,
16.08.2018,17:00:00,16.08.2018 17:00,0.5,9.23,0.157,0.139,0.42,0.042,0.007,0.023,0.04,43200,1814.4,302.4,993.6,0.28,0.04,0.42,
16.08.2018,23:00:00,16.08.2018 23:00,0.25,9.48,0.169,,0.394,0.051,0.009,0.033,0.047,21600,1101.6,194.4,712.8,0.19,0.00,0.28,
17.08.2018,5:00:00,17.08.2018 5:00,0.25,9.73,0.19,0.309,0.491,0.057,0.016,0.036,0.054,21600,1231.2,345.6,777.6,0.23,0.11,0.38,
17.08.2018,11:00:00,17.08.2018 11:00,0.25,9.98,0.213,0.321,0.276,0.061,0.017,0.039,0.028,21600,1317.6,367.2,842.4,0.28,0.12,0.23,
